X1,X2
Basic Info,Basic Info
Brand,Mercedes
Model,Benz C300 Cabriolet 2023
Made in,Germany
Status,Available
Body and Dimension,Body and Dimension
Body Style,Convertible
Length,184.5 in
Width,71.3 in
Height,55.3 in
Wheelbase,111.8 in
Curb Weight,3880 lbs
Colors,"Black, Polar White, Cirrus Silver Metallic, Graphite Grey Metallic, Lunar Blue Metallic, Mojave Silver Metallic, Obsidian Black Metallic, Selenite Grey Metallic, Starling Blue Metallic."
Seating Capacity,4 seater
No. of Doors,2 door
Engine and Transmission,Engine and Transmission
Engine,2.0L Turbo Inline-4 Gas
Horsepower,255 hp @ 5800 rpm
Torque,273 lb-ft @ 1800 rpm
Transmission,9-Speed Automatic
Drivetrain,Rear-Wheel Drive
Mileage In City,365.4 miles
Mileage In Highway,487.2 miles
Max. Speed,155 mph
Steering,
Steering Type,Rack-Pinion
Turning Diameter,36.8 ft
Tires,
Front Tire,P225/45HR18
Rear Tire,P245/40HR18
Wheels,
Wheels Type,Aluminum Wheels
Front Wheel Size,18 x 7.5
Rear Wheel Size,18 x 8.5
Brake Systems,
No data available in table,
Suspensions,
No data available in table,
Weight and Towing,
No data available in table,
Connectivity Features,"HD Radio, Bluetooth Connections, Premium Sound System, Satellite Radio, Smart Device Integration, WiFi Hotspot, Auxiliary Audio Input, Mp3 Player."
Safety Features,"Back-Up Camera, Blind Spot Monitor, Lane Departure Warning, ABS, Tire Pressure Monitor, Brake Assist, Stability Control, Traction Control, and six airbags."
Other Features,"Navigation System, Steering Wheel Audio Controls, Power Mirror(s), A/C, Adaptive Cruise Control, Climate Control, Cooled Front Seat(s), Cruise Control, Heated Front Seat(s), Heated Steering Wheel, Keyless Entry, Multi-Zone A/C, Power Passenger Seat, Remote Engine Start, Universal Garage Door Opener, Keyless Start, and Telematics."
Added by,Noman Arshad
